Day fraction since midnight on 	pH probe (pH)
0.6143251	6.21052742
0.614336672	6.206741333
0.614348273	6.181384563
0.614359829	6.203596115
0.61437139	6.19742775
0.61438298	6.171404362
0.614394547	6.174328804
0.614406127	6.154165268
0.614417706	6.192158222
0.614429277	6.15313673
0.614440844	6.169999123
0.614452441	6.140573502
0.614463984	6.134026051
0.614475563	6.161738873
0.614487141	6.166769028
0.614498724	6.139363766
0.614510291	6.197357178
0.614521858	6.172001839
0.614533437	6.186113358
0.614545017	6.156424999
0.614556602	6.192759514
0.614568157	6.180603027
0.614579747	6.187966824
0.614591314	6.149253845
0.614602893	6.152656555
0.614614448	6.147054195
0.614626027	6.156871319
0.614637594	6.133158684
0.614649177	6.135855198
0.614660755	6.145484924
0.614672322	6.155505657
0.614683912	6.131784439
0.614695498	6.122840881
0.614707072	6.113513947
0.614718628	6.122652531
0.614730195	6.097383499
0.614741762	6.08032608
0.614753352	6.087946892
0.614764942	6.099821568
0.614776486	6.089749813
0.614788076	6.03925848
0.614799643	6.035225868
0.614811209	6.035513401
0.614822788	6.084039688
0.614834366	6.046326637
0.614845945	6.070925236
0.614857523	6.03216219
0.614869102	6.081595898
0.614880669	6.047514439
0.614892224	6.053700447
0.614903826	6.041581154
0.614915381	6.096244335
0.61492696	6.085888863
0.614938527	6.087893963
0.614950105	6.044882298
0.614961672	6.091609001
0.614973262	6.084646225
0.614984817	6.071075916
0.614996407	6.024859905
0.615007974	6.048119545
0.615019541	6.050094605
0.615031131	6.074479103
0.61504271	5.828877926
0.615054277	6.045059681
0.615065855	6.081270218
0.615077411	6.192986012
0.615088989	5.963075638
0.615100579	5.984214306
0.615112144	5.912493706
0.615123723	5.935116768
0.615135313	5.930327416
0.615146868	5.919579983
0.61515844	5.900455952
0.615170011	5.943204403
0.615181578	5.950465202
0.615192971	5.962434292
0.615204746	5.915537357
0.615216313	5.909924984
0.615227892	5.911398888
0.615239112	5.912172318
0.615251026	5.919419289
0.615262616	5.875873089
0.615274183	5.915716648
0.615285761	5.864900112
0.615297316	5.895914555
0.615308895	5.878240109
0.615320485	5.858687401
0.61533204	5.909039021
0.615343619	5.912875176
0.615355174	5.882824421
0.615366776	5.883643627
0.615378343	5.911529541
0.615389933	5.932589531
0.615401486	5.903767586
0.615413059	5.908430576
0.615424653	5.920688629
0.615436214	5.926607609
0.615447793	5.904502392
0.615459361	5.864602089
0.615470951	5.864087582
0.615482507	5.895383358
0.615494085	5.916255474
0.615505652	5.89640522
0.615517242	5.867566586
0.615528809	5.859211922
0.615540376	5.877332687
0.615551966	5.860583782
0.615563544	5.870098591
0.6155751	5.82482481
0.615586678	5.83483839
0.615598257	5.848165512
0.615609824	5.852660656
0.615621414	5.841546536
0.615632981	5.873736382
0.615644548	5.868261337
0.615656114	5.857326031
0.615667693	5.808316231
0.615679295	5.822139263
0.61569085	5.799572468
0.615702428	5.827217102
0.615714007	5.795823097
0.615725562	5.791152
0.615737152	5.773731709
0.615748719	5.831705093
0.615760287	5.786023617
0.615771877	5.779610157
0.615783445	5.753234863
0.615795023	5.791113377
0.615806602	5.804675102
0.61581817	5.799595356
0.615829749	5.781229496
0.615841316	5.760947228
0.615852883	5.798844814
0.615864474	5.788567543
0.615876041	5.766976833
0.61588762	5.73903513
0.615899183	5.716999054
0.615910764	5.731807232
0.615922347	5.751299858
0.615933909	5.692982674
0.615945482	5.707318783
0.615957055	5.704731464
0.615968627	5.740614414
0.615980217	5.693032742
0.615991777	5.687566757
0.616003356	5.651723385
0.616014935	5.693871021
0.616026502	5.680892944
0.616038083	5.659198761
0.61604965	5.639631748
0.616061229	5.672118664
0.616072808	5.638761044
0.616084375	5.673223496
0.616095977	5.635461807
0.616107539	5.67166996
0.616119095	5.65658617
0.616130674	5.633603573
0.616142253	5.610788822
0.61615382	5.641401291
0.616165411	5.634129524
0.616176967	5.646657467
0.61618856	5.605603218
0.616200131	5.589443207
0.616211708	5.584664822
0.616223264	5.58193779
0.616234855	5.582072735
0.616246434	5.583988667
0.616258001	5.602702141
0.616269568	5.602909088
0.616281136	5.529559612
0.616292726	5.527619839
0.616304294	5.567423821
0.616315861	5.584610939
0.616327451	5.544921398
0.61633903	5.509204388
0.616350586	5.543394089
0.616362165	5.526640415
0.616373732	5.529485703
0.616385323	5.499695778
0.61639689	5.538401127
0.616408458	5.505398274
0.61642006	5.496547699
0.616431627	5.487366676
0.616443183	5.531691074
0.616454773	5.508374214
0.616466341	5.473610878
0.616477908	5.486682415
0.616489498	5.514042378
0.616501054	5.479040146
0.616512645	5.480158329
0.616524224	5.467990875
0.616535779	5.476733685
0.616547358	5.426785946
0.616558926	5.41679287
0.616570516	5.415410519
0.616582107	5.422371864
0.616593651	5.397690773
